source;gene
biomart_go;Ppm1d
biomart_go;Strada
biomart_go;Nbn
biomart_go;Mcm7
biomart_go;Stag3
biomart_go;Fam83d
biomart_go;Eid1
biomart_go;Gper1
biomart_go;Mad1l1
biomart_go;Rps6kb1
biomart_go;Mastl
biomart_go;Hmg20b
biomart_go;Spag8
biomart_go;Fzr1
biomart_go;Cltc
biomart_go;Cdk2ap1
biomart_go;Ska2
biomart_go;Melk
biomart_go;Haus5
biomart_go;Septin14
biomart_go;Tex14
biomart_go;Nupr1l
biomart_go;Lin54
biomart_go;Vps4b
biomart_go;Appl2
biomart_go;Bub3
biomart_go;Septin4
biomart_go;Smc2
biomart_go;Dctn3
biomart_go;Usp8
biomart_go;Rb1cc1
biomart_go;Zbtb49
biomart_go;Aspm
biomart_go;Bccip
biomart_go;Ncaph
biomart_go;Cdc73
biomart_go;Ppp1r1c
biomart_go;Kntc1
biomart_go;Spdye4a
biomart_go;Rgs2
biomart_go;Tsg101
biomart_go;Ube2c
biomart_go;Brinp3
biomart_go;Urgcp
biomart_go;Kif2b
biomart_go;Usp37
biomart_go;E2f8
biomart_go;Mki67
biomart_go;Mrpl41
biomart_go;Tpr
biomart_go;Inca1
biomart_go;Golga2
biomart_go;Hmcn1
biomart_go;Ppp2r2d
biomart_go;Anapc1
biomart_go;Gas2
biomart_go;Anapc15
biomart_go;Pdcd2l
biomart_go;Numa1
biomart_go;Mis12
biomart_go;Pimreg
biomart_go;Plk1
biomart_go;Anapc2
biomart_go;Syce1
biomart_go;Kdm8
biomart_go;Sapcd2
biomart_go;Pafah1b1
biomart_go;Brsk2
biomart_go;Cdc25b
biomart_go;Pard6b
biomart_go;Cdkn1c
biomart_go;Ccne1
biomart_go;Rassf2
biomart_go;Aurkc
biomart_go;Aurka
biomart_go;Mcm8
biomart_go;Rae1
biomart_go;Rbm38
biomart_go;Cntrl
biomart_go;Entr1
biomart_go;Dab2ip
biomart_go;Insm1
biomart_go;Eif2ak4
biomart_go;Bub1b
biomart_go;Rabgap1
biomart_go;Knl1
biomart_go;Nek6
biomart_go;Zfyve19
biomart_go;Ino80
biomart_go;Oip5
biomart_go;Nusap1
biomart_go;Ppp6c
biomart_go;Rif1
biomart_go;Knstrn
schiebinger_et_al;Mcm4
schiebinger_et_al;Smc4
schiebinger_et_al;Gtse1
schiebinger_et_al;Ttk
schiebinger_et_al;Rangap1
schiebinger_et_al;Ccnb2
schiebinger_et_al;Cenpa
schiebinger_et_al;Cenpe
schiebinger_et_al;Cdca8
schiebinger_et_al;Ckap2
schiebinger_et_al;Rad51
schiebinger_et_al;Pcna
schiebinger_et_al;Ube2c
schiebinger_et_al;Lbr
schiebinger_et_al;Cenpf
schiebinger_et_al;Birc5
schiebinger_et_al;Dtl
schiebinger_et_al;Dscc1
schiebinger_et_al;Cbx5
schiebinger_et_al;Usp1
schiebinger_et_al;Hmmr
schiebinger_et_al;Wdr76
schiebinger_et_al;Ung
schiebinger_et_al;Hn1
schiebinger_et_al;Cks2
schiebinger_et_al;Kif20b
schiebinger_et_al;Cdk1
schiebinger_et_al;Slbp
schiebinger_et_al;Aurkb
schiebinger_et_al;Kif11
schiebinger_et_al;Cks1b
schiebinger_et_al;Blm
schiebinger_et_al;Msh2
schiebinger_et_al;Gas2l3
schiebinger_et_al;Tyms
schiebinger_et_al;Hjurp
schiebinger_et_al;Hells
schiebinger_et_al;Prim1
schiebinger_et_al;Uhrf1
schiebinger_et_al;Ndc80
schiebinger_et_al;Mcm6
schiebinger_et_al;Rrm1
schiebinger_et_al;Mlf1ip
schiebinger_et_al;Top2a
schiebinger_et_al;Hmgb2
schiebinger_et_al;Ccne2
schiebinger_et_al;G2e3
schiebinger_et_al;Tmpo
schiebinger_et_al;Nusap1
schiebinger_et_al;Ncapd2
schiebinger_et_al;Mcm2
schiebinger_et_al;Kif2c
schiebinger_et_al;Cdca2
