Schwann cells;Ng2+ MSCs;Osteoblasts;Chondrocytes;Fibroblast/Chondrocyte progenitors;Sinusoidal endothelial cells;Arterial endothelial cells;Adipo-CAR;Osteo-CAR;Smooth muscle cells;Myofibroblasts;Stromal fibroblasts;Arteriolar fibroblasts;Endosteal fibroblasts;Erythroblasts;Erythroid progenitors;Neutrophil progenitors;Monocyte progenitors;Granulocyte/Monocyte progenitors;Eosinophil/Basophil progenitors;Lymphoid-primed multipotent progenitors;Erythroid/Megakaryocyte progenitors;Megakaryocyte progenitors;large pre-B cells;pro-B cells;Monocytes;Neutrophils;T cells;NK cells;Dendritic cells;small pre-B cells;B cells
Rnf13;Rcn3;Maged1;Cst3;Ndufa4l2;Fkbp1a;Crip1;Tpm1;Angpt4;Palld;Rpl6l;S100a6;S100a6;Anxa1;Prdx3;Serbp1;Pglyrp1;Sec61b;F13a1;Myl12b;Mef2c;Srgn;Etfb;Bfsp2;Pafah1b3;Slfn2;Ltf;Rpl18;Sh3bgrl3;Rac2;Herpud1;Tnfrsf13c
App;Col1a1;Ibsp;Prelp;1500015O10Rik;Tfpi;Glul;Rarres2;Cp;Rgs4;Fxyd6;Pcolce;Clec3b;Prkcdbp;Phf5a;Nfkbia;Gatm;Mrpl33;Zfp706;Ly6e;Rpl32;Rpl13;Rps6;Lgals9;Jund;Arpc1b;Pfn1;Rplp1;Limd2;Kmo;Mzb1;Ptpn6
Ppp1r14a;Fam20c;Kdelr3;Sdc4;Cdkn1a;Mmrn2;Tinagl1;Cxcl14;Islr;Csrp1;Crip2;Igfbp6;Col6a1;Ackr3;Ndufb9;C1qbp;Igsf6;Ybx1;Pdia6;Calr;Pde4b;Ninj1;Elf1;2810417H13Rik;H2-D1;Actg1;Cybb;Gm9843;Btg1;Selplg;Serinc3;Arhgdib
Tmem151a;Tspan6;Smpd3;Ppic;Klf2;Pecam1;Pls3;Dpep1;Olfml2b;Rasd1;Rpl35;Itm2b;Angptl1;Col3a1;Metap2;Trp53;Atp6ap2;Ms4a3;Pkm;Cd69;Serpinb1a;Rpl14;Tspan32;Lmnb1;Vpreb2;F13a1;Mgst1;Rps24;Klrk1;Ccl4;Elof1;Spib
Sec11c;Olfml2b;Bglap;Serpinh1;Cilp2;Ctla2a;Ptrf;H2-K1;Cd302;Mfge8;Crlf1;Ubc;Ctsl;Pcolce2;Rps27l;Gm15915;Arhgdib;Ptma;Alas1;Metap2;Ndufa4;Rpl37a;Rps24;Crip1;Tmsb10;S100a4;Ly6g;Rps16;Cyba;Cd300c;Cd24a;Rgs2
Gltp;Bgn;Col11a2;Trpv4;Sod3;Gimap6;Clu;Clu;Gpx8;Rasl11a;Anxa5;Col15a1;Mfap5;Cd9;Rrm1;Hspa9;Hmgn2;Sdf2l1;Irf8;Taldo1;Flt3;Zc3h12a;Gp1bb;Ppia;Smarca4;Itgb7;Plaur;Rpl19;Rpl13a;Cybb;Blnk;Fcrla
Sept4;Postn;Metrnl;Rcn2;Slc29a1;Marcksl1;Fbln2;Agt;Igfbp5;Map1lc3a;Btg2;Anxa5;Selm;Cd248;Mcm7;Aqp1;Hdc;Ppia;Psmb8;Pabpc1;H2-DMa;Npm1;Ccnd2;Lef1;Rps27;Cd52;Adpgk;Rps13;Sept1;Atp1b1;Ptma;Limd2
Agpat4;Pcolce;Tmem59;Cd9;Bhlhe40;Kdr;Bcam;Ifitm3;Tmem176a;Cox8a;Cnn3;Cd34;Islr;Aspn;Ddx39;Eef2;Cebpe;Cmtm7;Ms4a3;Cpne2;Marcksl1;Cmas;Lmo2;Stmn1;Cox7a2l;Cybb;Hp;Gm8730;Skap1;Ly6d;Lrmp;Gm9843
Lamp1;Tmem59;Bgn;Mfi2;Plod2;Ly6e;Id3;Cst3;Igfbp7;Ppp1r15a;Eef2;Egr1;Vim;Cd55;Rhd;Gclm;Adssl1;Gsr;Spcs2;Pfn1;Plac8;Cd69;Khk;H3f3a;Clic1;Cd68;Chil3;Rps18;H2-K1;Ly86;Gm43291;Siglecg
Tuba1a;Lgmn;Kazald1;Vit;Col1a2;Calm1;Stmn2;Bgn;Lifr;Ptp4a3;Vcam1;Cxcl1;Anxa2;Pmp22;Klf1;Srm;Ifngr1;Lgals1;Sec61b;Lpcat2;Rpl17;Hnrnpa1;Hmgb3;Sumo2;Gm11808;Ptpn6;Clec4a2;Selplg;H2-D1;Syngr2;Zfp706;Hvcn1
