Schwann cells;Ng2+ MSCs;Osteoblasts;Chondrocytes;Fibroblast/Chondrocyte progenitors;Sinusoidal endothelial cells;Arterial endothelial cells;Adipo-CAR;Osteo-CAR;Smooth muscle cells;Myofibroblasts;Stromal fibroblasts;Arteriolar fibroblasts;Endosteal fibroblasts;Erythroblasts;Erythroid progenitors;Neutrophil progenitors;Monocyte progenitors;Granulocyte/Monocyte progenitors;Eosinophil/Basophil progenitors;Lymphoid-primed multipotent progenitors;Erythroid/Megakaryocyte progenitors;Megakaryocyte progenitors;large pre-B cells;pro-B cells;Monocytes;Neutrophils;T cells;NK cells;Dendritic cells;small pre-B cells;B cells
Fabp5;;Praf2;Edil3;;;;Olfml2b;Pdlim2;Kif5b;;;Lmna;Entpd2;Rpl23a;Kcnq1ot1;Tma16;Ctss;Sptssa;;;;;;;Ccdc109b;Unc119;mt-Atp6;Sept6;Rnd3;;
Tmcc3;;Rps26-ps1;Socs2;;;;Tnc;Emp2;Map1b;;;Ppic;Pdlim2;Rps8;Naca;2700094K13Rik;Lta4h;Spcs3;;;;;;;Mrpl33;Cd33;Tsc22d3;Efhd2;Hcls1;;
S1pr5;;Sec61b;Junb;;;;Ppib;Pcolce;Pnrc1;;;Psap;Atox1;Cox6b2;Rpl21;H2afj;Vrk1;Ldha;;;;;;;Gm9843;Glipr2;Rps10;Tspo;Sp100;;
Fnta;;Chmp4b;Igfbp7;;;;Plxdc2;Mxd4;Rcan2;;;Ergic3;Mustn1;Bsg;Sdhd;Krtcap2;Lamtor4;Bex6;;;;;;;Ifitm6;Ptpn6;mt-Co1;Rhoh;Itgb2;;
Abca2;;Tuba1a;Cnn3;;;;Igf1;Lmo7;Mafk;;;Itgbl1;Col6a2;Rps15;Prss50;Tax1bp1;Syngr2;Cct8;;;;;;;Scp2;Txn1;Gm2000;Prr13;Cdkn2d;;
Serpinb1a;;Gm10269;Ubb;;;;Cpxm1;Eva1a;Bcr;;;Vkorc1;Nid1;Rpa2;Atp5g2;Stt3b;Dctpp1;Hnrnpu;;;;;;;Lyz1;Actn1;Fyb;Eif4a2;Hhex;;
Ubc;;Ssr3;Omd;;;;Fxyd1;Lrp4;Cdkn1a;;;Thbs3;Prrx1;Hbb-bt;Rrp9;Rpl36al;Krtcap2;Rnpep;;;;;;;Naaa;Arhgap9;Rpl24;Rnaset2b;Mzb1;;
Fam171b;;Timp1;Pde4b;;;;Pdzrn4;Tmem86a;Actn1;;;App;Capns1;Gstm5;Mrps28;Ak2;Vapa;Sec61g;;;;;;;Hcls1;Actg1;H2-Q7;Atp6v1f;Gpcpd1;;
Mpc1;;Omd;S100a10;;;;Lifr;Copz2;Notch3;;;Cyb5a;Lamp1;Rpl24;Rplp1;Fcgr2b;Zfp422;Fam49b;;;;;;;Stx7;Card19;Pnrc1;Rps13;Cd48;;
Pcsk1n;;Slc39a7;Efcab1;;;;Junb;Selk;Adamts1;;;Sgce;Malat1;Isg20;Tfr2;Mpc1;Rps29;Fabp5;;;;;;;Gm10116;Cpne3;Tagap;Klrc1;Abhd17b;;
Vmp1;;Fos;Uap1;;;;Mgp;App;Cd36;;;Clec11a;Mt2;Phf10;Tomm40;Tmx4;Srgn;Zfp422;;;;;;;Lamtor4;Anxa3;Npc2;Ier2;Trappc5;;
Cyp51;;Cdh2;Fkbp10;;;;Igfbp3;Il7;Lmna;;;Tnxb;Ahnak2;Icam4;Hsp90aa1;Svip;Ranbp1;Fam96a;;;;;;;Hpcal1;Cdc42;Rpl14;Samd3;Gm2a;;
Ptp4a1;;Yif1a;Gadd45b;;;;Cd1d1;Cd200;Ptp4a1;;;Pcolce2;Lpar1;Dnajc9;Gar1;Cope;Gpi1;Bola2;;;;;;;Clec4a3;Gpi1;Rpl30;Klf6;Xbp1;;
Ncam1;;Bsg;Trim47;;;;Bst2;Cpxm1;Usmg5;;;Junb;Itgb5;Tyms;Hspe1;1700020L24Rik;Phgdh;Gart;;;;;;;Hp;Ier2;Tbc1d10c;Nfkbid;Spns3;;
Neat1;;Ctsh;Rarres1;;;;Sgce;Maged1;mt-Nd4;;;Tmed3;Rabac1;Lsm4;Eif4a1;Tnfaip8;Hint1;Capza2;;;;;;;Ccl3;Retnlg;Klf6;Pnrc1;Mgat1;;
Zdhhc20;;Rabac1;Pax1;;;;Tsc22d1;Fat1;Bnip2;;;Prrx1;Rras;Paqr9;Bcl11a;Bet1;Parl;Abracl;;;;;;;Mgst1;Aldh2;Gm9844;Arpc2;Fth1;;
Lgmn;;Shc2;P4ha1;;;;S1pr3;Angptl4;Asb2;;;Calu;Fth1;Aqp1;Noc2l;Exosc5;Gmfg;Ssr1;;;;;;;Ap1s2;Arpc4;Arl4c;Itgb7;Cd209a;;
Phgdh;;Hypk;1810037I17Rik;;;;Col4a1;Mdk;Sbspon;;;Ifi27;Cadm3;Tspan8;Rpl12;Tm7sf3;Pdia3;Tpi1;;;;;;;Myo1f;Cyb5r4;Arhgef1;Pycard;Cd180;;
Efcab14;;Gpx3;Tob1;;;;Slc6a6;Tuba1a;Rasl12;;;Pdgfra;Pdpn;Gfi1b;Minpp1;Mrpl19;Pkib;Rpl39;;;;;;;Fam111a;Padi4;Bcl11b;Clic1;Tnfaip8l2;;
Gpx4;;Sec31a;Ivns1abp;;;;Hes1;Ift43;Pde3a;;;Nfix;Timp3;Ssna1;Rps15a;G6pc3;Cks1b;Syngr2;;;;;;;Abracl;St3gal5;Il2rg;Tcf7;Ptpn18;;
Abhd12;;Gm10116;Sec62;;;;Aldh1a2;;Sh3bgrl;;;Crip2;Col6a1;Fam210b;Ruvbl1;S100a1;Pld4;Pdia3;;;;;;;Actb;Hcls1;Rpl27a;Arhgef1;Rabgap1l;;
Ttll7;;Ndufa1;Bsg;;;;Emp2;;Csrnp1;;;Hspg2;Col5a2;Ndufa5;Rps10;Cox5a;Lmnb1;Hint1;;;;;;;Sell;Rogdi;Rpl36a;Nr4a2;Psme1;;
Adap1;;Cnn2;Rps27rt;;;;Oat;;Lhfp;;;;Fkbp1a;Uqcrh;Spint2;Snrpf;Mbnl1;Cdk6;;;;;;;Gm2a;;Rpl3;Fam49b;Adpgk;;
Litaf;;C1qtnf6;Fibin;;;;Prdx4;;Itga7;;;;Mmp2;Cox7a2;Impdh2;Tmem258;Gstm1;Fkbp4;;;;;;;Pid1;;Cd247;Rpl6;Lamtor4;;
Arl2;;Grrp1;Nid2;;;;Snai2;;Mgst3;;;;Camk2n1;Uqcrfs1;Chchd2;B4galt6;Psmb9;Mcm3;;;;;;;Shfm1;;Cd37;H2-Ab1;Selt;;
Slc25a4;;Rcor2;Copz2;;;;Rgcc;;mt-Nd2;;;;Myadm;Rps7;Rpl38;Arpc1b;Adss;Exosc5;;;;;;;Plaur;;Gmfg;Cap1;Plac8;;
Edil3;;Gadd45g;Cnpy2;;;;Tmbim6;;Ccdc3;;;;Mtch1;Car1;Rpl37;Adgrg3;Rnpep;Impa2;;;;;;;Sp100;;Pfn1;Rab8a;Pmaip1;;
Tnfaip6;;Mydgf;Calm2;;;;Hsp90b1;;Mamdc2;;;;Ccl7;Hars;Pitrm1;Hspa5;Spcs3;Sh3bgrl3;;;;;;;Card19;;Ier2;;Rpgrip1;;
Sox10;;Chn1;Thbs1;;;;Cd81;;Timp3;;;;Ddr2;Ndufa12;Wapl;Aprt;Gsto1;Lyar;;;;;;;S100a11;;Klrd1;;Hes6;;
Atp1a1;;Cd9;Serpine1;;;;H2-Q7;;Vps37b;;;;Gpx8;Rpl9;Cct2;Cdca7;Tagln2;Umps;;;;;;;Atp6v0b;;;;Med10;;
Ubb;;Zfp652;Zbtb20;;;;Col6a2;;Spop;;;;Eif1;Tfrc;Tex30;Impa2;Pyhin1;Hprt;;;;;;;Emp3;;;;Rab33b;;
Tmem63a;;Tmem176a;Col6a2;;;;Ifi27;;Ccnd2;;;;Ifi27l2a;Add2;Eif3a;Fkbp11;Ptpn6;Nudc;;;;;;;Nrros;;;;Arpc5l;;
S100b;;Olfml3;Rtn4;;;;C3;;Zfp36;;;;Scara3;Mcm6;Oat;Hspd1;Idh1;Tpm3;;;;;;;Btg2;;;;Sh3bgr;;
Bpgm;;Cdr2l;Notum;;;;Ptprd;;Dusp1;;;;Selk;Asb17os;Sfxn1;Hsp90b1;Bola2;Hnrnpf;;;;;;;Cfl1;;;;Fgr;;
Tmem9b;;Msmp;Gfpt2;;;;Mmp23;;Tuba1a;;;;Antxr1;Ndufb10;Fkbp4;Stk16;Umps;Ywhae;;;;;;;AB124611;;;;Rnf187;;
Ddr1;;Tceal8;mt-Co1;;;;Spon1;;Irf1;;;;Mxra8;Ccnb1;Pes1;Pfn1;Pdia4;Arpc1b;;;;;;;Gpsm3;;;;Tnfaip8;;
Gjc3;;Ergic3;Egr1;;;;Selk;;mt-Co1;;;;Dpysl3;Cenpk;Rpl31;Ptma;Hnrnpu;Acot7;;;;;;;Sla;;;;Rnaset2a;;
Lpar1;;Hoxb2;Sema3d;;;;;;Emd;;;;Bgn;Psmd9;Rpl8;Cd63;Ptpn18;Cfp;;;;;;;Sap30;;;;Sec11c;;
Ptn;;Dpm3;4930523C07Rik;;;;;;Sertad1;;;;Wnt2;Cmc2;Acyp1;Psma6;2010107E04Rik;Rbbp7;;;;;;;Calm1;;;;Ramp1;;
Pmp22;;Smim14;Gng5;;;;;;Nfkbiz;;;;Gm2000;Ngfrap1;Hnrnpk;Umps;Milr1;Psmb9;;;;;;;Gmfg;;;;Prkcd;;
Faim2;;Enpp6;Rabac1;;;;;;Arhgap29;;;;Nsg1;Eef1g;Txnl1;Gorasp2;Hells;Fcgr3;;;;;;;Rap1a;;;;Dap;;
Tob1;;Bcar3;Malat1;;;;;;Atp5d;;;;Vit;Ptdss2;Srsf7;Cks2;Gapdh;Syce2;;;;;;;Pkm;;;;H13;;
Mt1;;Pofut2;Ecm2;;;;;;Aldoa;;;;Nfix;Pole3;Hnrnpf;M6pr;Tfec;Mcm5;;;;;;;Dok3;;;;Tbc1d8;;
Emc10;;Itga10;Fam129b;;;;;;Cdk11b;;;;Ndn;Mcm3;Rpl23;Syngr2;Npm1;Thyn1;;;;;;;Clic1;;;;Shisa5;;
Car2;;Fkbp9;Gpx8;;;;;;Nudt4;;;;Bmp1;mt-Co3;Ranbp1;Hsd11b1;Dmkn;Pycard;;;;;;;Vim;;;;Klra17;;
Aig1;;Dad1;Sdf4;;;;;;Mbnl2;;;;Aebp1;Mrps18c;Carnmt1;Mrpl33;Skap2;Rpl36al;;;;;;;Tm6sf1;;;;Fam174a;;
Fos;;Plcd1;Dad1;;;;;;Ier2;;;;Copz2;Rexo2;Galnt1;Rac2;Ndufa4;Dnajc2;;;;;;;H2-D1;;;;Hist3h2a;;
Marcksl1;;Rpl10;Comt;;;;;;Ech1;;;;Prelp;Nsmce4a;Apex1;Hsdl2;Atp5l;Rasgrp2;;;;;;;Gpr141;;;;Tmed3;;
Dpysl2;;Hpgd;Angptl2;;;;;;Wdr1;;;;Fez1;Mki67;Ruvbl2;Vat1;Hmgb1;Nsun2;;;;;;;Fn1;;;;Mpnd;;
Rap1a;;Entpd3;Zfp36;;;;;;mt-Co3;;;;Rtn4;Epor;Ddx39b;Ranbp1;Ywhae;Unc93b1;;;;;;;Csf1r;;;;Cdc42se1;;
Slc22a17;;Myo10;Gdf10;;;;;;Csrp2;;;;Sepp1;Cenph;Tnfaip2;Atp5g1;Trem3;Mcm6;;;;;;;Cnn2;;;;Atp1a1;;
Rhob;;Hdlbp;Efemp2;;;;;;Chchd2;;;;Creb5;Cox7c;Nifk;Tmem256;Erh;Stmn1;;;;;;;Nfam1;;;;Klf2;;
Elovl7;;P4ha1;Fzd9;;;;;;Ano1;;;;Cyr61;Bcas2;Zfp36l2;Nrros;Atp6v0b;Ssr2;;;;;;;Pyhin1;;;;Fcrla;;
Dnm3;;Tmed9;Ifrd1;;;;;;Hbegf;;;;Nfkbia;Cct7;Rps23;Cited2;Rps25;Arhgdib;;;;;;;Gsr;;;;H2-K1;;
Fkbp1a;;Sep15;Herpud1;;;;;;Gamt;;;;;Spc24;Rcl1;Eno1;Atp6v1b2;Rpn1;;;;;;;Arhgap9;;;;Rps6ka1;;
Omg;;Crtap;S100b;;;;;;Cav2;;;;;Asf1b;Alyref;Sh3bgrl3;Ms4a6b;Mapkapk3;;;;;;;Zfp36;;;;R3hdm4;;
Enpp6;;Pard6g;Morf4l2;;;;;;Cox7c;;;;;Rplp1;Eif3g;Parl;Prkcd;H2-DMa;;;;;;;Ctsb;;;;Skap2;;
Jam3;;Ptprs;Wisp3;;;;;;Tgfb1i1;;;;;Rps3a1;Mns1;Rpn1;Tmed9;Cacybp;;;;;;;Rac1;;;;Mef2c;;
Ppp2ca;;Alg5;Tuba1c;;;;;;Ndufa2;;;;;Dhfr;Rpl11;Npm1;Rpl22l1;Ctsz;;;;;;;Msn;;;;Fyn;;
Hs3st1;;Ccdc80;Myadm;;;;;;;;;;;Gadd45gip1;Ak2;Smim4;Rpl39;Fam105a;;;;;;;Psma7;;;;H2-Q7;;
Ado;;Fgfr1;Pla2g5;;;;;;;;;;;Dhrs11;1190007I07Rik;Mcee;Bphl;Cdk4;;;;;;;Skap2;;;;Pkib;;
Klhl2;;Tmem167;Srpx;;;;;;;;;;;Slc25a21;Rpl18a;Tmem97;Tpm3;Sap30;;;;;;;Aprt;;;;Nek6;;
Kif1bp;;Vdr;Tmem45a;;;;;;;;;;;Cox6b1;Mrto4;Fdps;Lat2;Rps25;;;;;;;Sema4a;;;;Cd209d;;
Rnf130;;2310022B05Rik;Gm10076;;;;;;;;;;;Ift140;Psmd7;Tuba4a;Tor1a;Bphl;;;;;;;Gm26532;;;;Cd72;;
Wbp2;;Tmed10;Pdia6;;;;;;;;;;;Pla2g16;Eif3i;Ssr1;Lsm6;M6pr;;;;;;;Idh1;;;;Lbh;;
Mlf2;;Tmem45a;Hhip;;;;;;;;;;;Eny2;Dap3;Rab44;Rpl35a;Hnrnpa3;;;;;;;Cyth4;;;;Stk17b;;
Tmbim1;;Rps28;;;;;;;;;;;;Uros;Snrpf;Mgat2;Cdca7;Vapa;;;;;;;Wdr1;;;;Ptp4a3;;
Gabbr1;;Dlx5;;;;;;;;;;;;Rps4x;Smap2;Chst12;Cdk6;Rpl38;;;;;;;Hexb;;;;Rpl13a;;
Map7d1;;Ssr1;;;;;;;;;;;;Cdca8;Trim28;Rps25;Hsp90b1;Nhp2;;;;;;;Clec12a;;;;Snx18;;
Pecam1;;;;;;;;;;;;;;Trim10;Rps11;Acot7;Rps19;Lsm3;;;;;;;Bri3;;;;Fam3c;;
Rnf5;;;;;;;;;;;;;;Cdt1;Hk1;Rpl38;Mgst1;Aldoa;;;;;;;Osm;;;;Fam49b;;
Lrrn1;;;;;;;;;;;;;;Slc43a1;Ier2;1700123O20Rik;Tkt;Idh1;;;;;;;Camkk2;;;;Tubgcp5;;
Insig1;;;;;;;;;;;;;;Atp5j;Tcp1;Msantd3;Tram1;Rsl1d1;;;;;;;Fam96a;;;;Abhd17a;;
Tulp4;;;;;;;;;;;;;;Rps13;Grwd1;Ero1l;Laptm5;Rpn2;;;;;;;Cytip;;;;Samhd1;;
Cfl2;;;;;;;;;;;;;;Plk1;Kcnn4;Chst13;Edem2;Tmed9;;;;;;;Pitpna;;;;Cdk2ap2;;
Sys1;;;;;;;;;;;;;;Psmb4;Gars;Tslp;Rpn1;Bloc1s2;;;;;;;Ltb4r1;;;;Asah1;;
Pacs2;;;;;;;;;;;;;;Mcm4;Rpl34;Rnpep;Nop10;Edem2;;;;;;;Klf4;;;;Pfdn5;;
Ypel2;;;;;;;;;;;;;;Aldh1a1;Epdr1;G3bp1;Spg21;Hnrnpk;;;;;;;Klf2;;;;Lyn;;
Taldo1;;;;;;;;;;;;;;Cox5b;Rexo2;1110001J03Rik;Capzb;Bcap29;;;;;;;Scand1;;;;Scand1;;
Gm15440;;;;;;;;;;;;;;Chchd2;Ewsr1;Lrrc59;Cfl1;Coro1a;;;;;;;Cyp4f18;;;;Atp2a1;;
Atp6ap1;;;;;;;;;;;;;;Mrpl20;Rps3a1;Taldo1;Ly6e;Rpl35a;;;;;;;Mndal;;;;Rpl10-ps3;;
Idi1;;;;;;;;;;;;;;Atp5j2;Wdr46;Rpl22l1;Csf2ra;Psma5;;;;;;;Sirpa;;;;Calm1;;
Gm26917;;;;;;;;;;;;;;Necap2;Isyna1;Serf2;Hnrnpa3;Krtcap2;;;;;;;Tmcc1;;;;Tmem229b;;
Ap2a1;;;;;;;;;;;;;;Abcb4;Psma5;Lyar;Actr2;Rgs18;;;;;;;Atp6v1b2;;;;Pqlc3;;
Pigz;;;;;;;;;;;;;;Smc2;Uchl3;Arpc2;Fam111a;Nt5dc2;;;;;;;Ctsa;;;;Atp6v1d;;
Atp6v0b;;;;;;;;;;;;;;Txnrd2;Lgals9;Pa2g4;Mapkapk3;Ruvbl2;;;;;;;Plac8;;;;Arhgap17;;
Nkd1;;;;;;;;;;;;;;Rbmxl1;Hspa8;BC035044;Casp1;Tmed3;;;;;;;Lcp1;;;;Tubb2a;;
Tspan3;;;;;;;;;;;;;;Lsm2;Mospd3;Tpi1;Impa2;Manf;;;;;;;Hexa;;;;Limd2;;
Slc24a2;;;;;;;;;;;;;;Ndufv1;Ifrd2;Wdr12;Ssr2;Tm7sf3;;;;;;;Sec11c;;;;Actb;;
Ppp2r2c;;;;;;;;;;;;;;Cdc20;Fermt3;Tspan32;Tmem165;Cbfb;;;;;;;Ptprc;;;;Cdc42se2;;
Inpp5f;;;;;;;;;;;;;;Ccdc34;Aasdhppt;Cdk6;Ethe1;Prss57;;;;;;;Ifngr2;;;;Ifnar1;;
Saraf;;;;;;;;;;;;;;Nudt19;Grb2;Lamtor4;;Vrk1;;;;;;;Myo1g;;;;Gm8953;;
Cdc42ep2;;;;;;;;;;;;;;Psip1;Pfn1;Ptpn7;;Rrs1;;;;;;;Rgs19;;;;Net1;;
Ank2;;;;;;;;;;;;;;Atp5g3;Frat2;Lcp1;;Celf2;;;;;;;Fam69a;;;;Paqr5;;
Atp9a;;;;;;;;;;;;;;Uqcrc1;Cnbp;Pdcd4;;Tuba1b;;;;;;;Psmb8;;;;Arhgap9;;
Degs1;;;;;;;;;;;;;;Pklr;Rae1;Ost4;;Naa50;;;;;;;Ifngr1;;;;Rpl13a-ps1;;
Rab4a;;;;;;;;;;;;;;Rgs10;Nip7;Parvg;;Pebp1;;;;;;;Snx20;;;;Gngt2;;
Bnip3l;;;;;;;;;;;;;;Erh;Rpl7;Cenpw;;Casp1;;;;;;;Susd3;;;;Stambpl1;;
Trim59;;;;;;;;;;;;;;Tuba1b;Atad3a;Lman1;;Rpl3;;;;;;;Neat1;;;;Ubl3;;
Gpr62;;;;;;;;;;;;;;Rpl30;Lap3;Frat2;;Lmo2;;;;;;;Pomp;;;;Epsti1;;
Cdc37l1;;;;;;;;;;;;;;Kif22;Tmem147;Spns3;;Idh3a;;;;;;;Ly6i;;;;Ptpn1;;
Sort1;;;;;;;;;;;;;;Rad51ap1;Rbm25;Fam136a;;Eif2s1;;;;;;;Pygl;;;;BC147527;;
Itm2b;;;;;;;;;;;;;;Taldo1;Rps13;Tmem248;;Gpx1;;;;;;;Ctage5;;;;Cxcr3;;
Nfix;;;;;;;;;;;;;;Tmem238;Ppm1g;Stt3a;;Park7;;;;;;;H2-Ab1;;;;Hn1;;
Rcan2;;;;;;;;;;;;;;Hat1;Galk1;Dctpp1;;G6pc3;;;;;;;Cmpk1;;;;Psmb9;;
Gabarapl2;;;;;;;;;;;;;;Exosc8;Phb2;Erh;;Pfn1;;;;;;;Mnda;;;;H2-M3;;
Grb14;;;;;;;;;;;;;;Fahd1;Rpl13a;Rrs1;;Snrpd2;;;;;;;H2afx;;;;Cd164;;
Pfn2;;;;;;;;;;;;;;Dpy30;Eef1e1;1110008F13Rik;;Cfl1;;;;;;;Pfdn5;;;;Klk1;;
Hepacam;;;;;;;;;;;;;;Tcp1;Cirh1a;Csf2ra;;Tifab;;;;;;;Nadk;;;;Rell1;;
Slc12a2;;;;;;;;;;;;;;Hagh;Ddx21;Nudcd2;;2010107E04Rik;;;;;;;Emilin2;;;;Atp6v0b;;
Clip3;;;;;;;;;;;;;;Psmf1;Wdr77;Ncf4;;Caprin1;;;;;;;S100a10;;;;Gnb2;;
Atp6v0e2;;;;;;;;;;;;;;Abcb10;Ppa1;Abhd11;;Ak2;;;;;;;Hspa1a;;;;Kctd12;;
Lgi3;;;;;;;;;;;;;;Slc25a38;Eif3m;Idh1;;Lrrc59;;;;;;;Epsti1;;;;BC017643;;
Fgfr2;;;;;;;;;;;;;;Mtfr1;Rrp15;Tram1;;Ppa1;;;;;;;Brk1;;;;Fgd2;;
Eml2;;;;;;;;;;;;;;Sphk1;Rpl24;P4hb;;Ppid;;;;;;;H2-DMb1;;;;Sms;;
Tmed10;;;;;;;;;;;;;;Cct5;Urod;Rtn3;;Trap1;;;;;;;Cx3cr1;;;;Rogdi;;
Hmox2;;;;;;;;;;;;;;Ranbp1;Srrm1;Mlec;;Agpat5;;;;;;;Apbb1ip;;;;Gpsm3;;
Rtn3;;;;;;;;;;;;;;Nudt21;Eif3d;Limd2;;Atic;;;;;;;Milr1;;;;Flt3;;
Ptprd;;;;;;;;;;;;;;Kel;Polr2e;Fkbp4;;Wdr12;;;;;;;Reep5;;;;Gm5547;;
Prr5l;;;;;;;;;;;;;;mt-Nd1;Ddx27;Rpa3;;Fam136a;;;;;;;Irf8;;;;Msmo1;;
Plin3;;;;;;;;;;;;;;Hist1h2ap;Srsf6;Hnrnpa3;;Gria3;;;;;;;Tmpo;;;;Prr5;;
Cpox;;;;;;;;;;;;;;Rnaseh2c;2310039H08Rik;Rsl24d1;;Atp5g1;;;;;;;Flna;;;;Tram1;;
Gdi1;;;;;;;;;;;;;;Ndufs6;Idh3g;Ncf1;;Tagln2;;;;;;;Clta;;;;Cd69;;
Sv2a;;;;;;;;;;;;;;Tfr2;Htra2;Cks1b;;Nme1;;;;;;;Ypel3;;;;PISD;;
Enpp5;;;;;;;;;;;;;;Slc4a1;Rps20;Mtus1;;Tmem165;;;;;;;Dbi;;;;Cdc42;;
Scg5;;;;;;;;;;;;;;Nudt9;Exosc7;Ethe1;;Ptges3;;;;;;;Sirpb1c;;;;mt-Co3;;
Kcnk13;;;;;;;;;;;;;;Mrps14;Wdr61;Dpy30;;Gorasp2;;;;;;;Slpi;;;;Trib1;;
Clcn4;;;;;;;;;;;;;;Cox6c;Gcsh;Gda;;Ostc;;;;;;;Aldh3b1;;;;Ogt;;
Sqle;;;;;;;;;;;;;;Mrps36;Tsfm;Sdhd;;Rpl11;;;;;;;Tlr2;;;;Xist;;
Pim3;;;;;;;;;;;;;;Kcnn4;Necap2;Pxylp1;;Lsm6;;;;;;;Psme1;;;;Ech1;;
Anln;;;;;;;;;;;;;;Srsf3;Rad23b;Gmfg;;Smarcc1;;;;;;;Chil3;;;;P2ry14;;
Ktn1;;;;;;;;;;;;;;Tal1;Ddx39;As3mt;;Usp14;;;;;;;Cdkn2d;;;;Ctsc;;
Prr18;;;;;;;;;;;;;;Sec14l2;Nhp2;Cyba;;Hspa4;;;;;;;Unc119;;;;Ldhb;;
Cntn2;;;;;;;;;;;;;;Eif3k;Gmps;Impdh1;;Hsp90ab1;;;;;;;Rhoa;;;;Arl5c;;
Serinc1;;;;;;;;;;;;;;Bex4;Tomm5;Mrgpra2b;;Dars;;;;;;;Efhd2;;;;Herpud1;;
Klk6;;;;;;;;;;;;;;Pnp;Vdac1;Srp68;;Nudcd2;;;;;;;Ccdc12;;;;Tagln2;;
Desi1;;;;;;;;;;;;;;Mboat2;Brix1;Ebna1bp2;;Fcgr2b;;;;;;;Hmgb2;;;;Sirpa;;
Enpp4;;;;;;;;;;;;;;Fbxo5;Phf10;Tm9sf3;;Fdps;;;;;;;Myadm;;;;Atf6b;;
Pacsin3;;;;;;;;;;;;;;Snrpd3;Slc25a21;Gusb;;Psat1;;;;;;;Atox1;;;;Stat1;;
1700047M11Rik;;;;;;;;;;;;;;Asf1a;Tnfaip3;Dnajb11;;Naa20;;;;;;;Lilra6;;;;;;
Ddrgk1;;;;;;;;;;;;;;Tma7;Fam195a;Dnajc2;;Adss;;;;;;;Ptpro;;;;;;
Pip4k2a;;;;;;;;;;;;;;Fignl1;Immt;Ldha;;Ipo5;;;;;;;Plp2;;;;;;
Arpc1a;;;;;;;;;;;;;;C1qbp;Psme3;Gart;;Tram1;;;;;;;Rap1b;;;;;;
Comt;;;;;;;;;;;;;;Snrpa1;Bclaf1;Tma7;;Gtpbp4;;;;;;;Itgam;;;;;;
Nacc2;;;;;;;;;;;;;;Psma1;Ubap2l;Hexa;;Rpf2;;;;;;;Atp6v0e;;;;;;
Cd82;;;;;;;;;;;;;;Abcb6;Ssb;Rpl35a;;Psmb2;;;;;;;Clec4a1;;;;;;
Gstp1;;;;;;;;;;;;;;Rps14;Wrn;Nucb2;;Rpl28;;;;;;;Sept9;;;;;;
Glrb;;;;;;;;;;;;;;Dnajc19;Pus1;Zfp422;;Milr1;;;;;;;Tep1;;;;;;
Emc7;;;;;;;;;;;;;;Psmd4;Rpl35a;Eif4g2;;Gar1;;;;;;;Mbnl1;;;;;;
Ldhb;;;;;;;;;;;;;;Svbp;Ftsj3;Hmgn5;;Tomm20;;;;;;;Fis1;;;;;;
Nmral1;;;;;;;;;;;;;;Gid8;Prpf19;Nans;;Parp8;;;;;;;Pmaip1;;;;;;
Gm42726;;;;;;;;;;;;;;Rfc5;Nadk2;Bcap29;;Suclg1;;;;;;;Tsc22d3;;;;;;
Fdft1;;;;;;;;;;;;;;Syngr1;Gspt1;Emb;;Rad23b;;;;;;;B2m;;;;;;
Map1a;;;;;;;;;;;;;;Psmd6;Ddx18;Clec4a2;;Wdr43;;;;;;;Fcnb;;;;;;
Aes;;;;;;;;;;;;;;Polr2j;Vars;Mdh1;;Gatm;;;;;;;Coro1b;;;;;;
Rab10;;;;;;;;;;;;;;Esco2;Eef1b2;Mydgf;;Nolc1;;;;;;;Ppp1ca;;;;;;
Jun;;;;;;;;;;;;;;Mad2l1;Rpl27a;Cacybp;;Gmfg;;;;;;;Stxbp6;;;;;;
Kif21a;;;;;;;;;;;;;;Tango2;Asns;Ruvbl2;;Idh3g;;;;;;;Fes;;;;;;
Jund;;;;;;;;;;;;;;Tsn;Prmt7;Ncf2;;Ppih;;;;;;;Ralb;;;;;;
Cxx1a;;;;;;;;;;;;;;Ndufs3;Mrpl32;Psmg1;;Nono;;;;;;;Atp6v1g1;;;;;;
Gpd1;;;;;;;;;;;;;;Cela1;Rpl18;Arpc4;;Casp8;;;;;;;Hacd4;;;;;;
Rcbtb1;;;;;;;;;;;;;;Mllt3;Hmgn5;Rps17;;Lman1;;;;;;;Twf2;;;;;;
Slc6a9;;;;;;;;;;;;;;Selenbp1;Selenbp1;Cct8;;Prdx1;;;;;;;Commd8;;;;;;
Arsg;;;;;;;;;;;;;;Eif3i;Abce1;Hells;;Mrpl12;;;;;;;Dazap2;;;;;;
Efhd1;;;;;;;;;;;;;;Rpl12;Rps25;Psmb8;;Psme2;;;;;;;Sirpb1b;;;;;;
Atxn7l3b;;;;;;;;;;;;;;Tmem120b;Nudcd2;Gar1;;Capzb;;;;;;;Pira2;;;;;;
Aatk;;;;;;;;;;;;;;Cks1b;Acadl;Gbe1;;Gm2a;;;;;;;Fgr;;;;;;
Hsbp1;;;;;;;;;;;;;;Ppox;Pabpc4;Ola1;;Atp5l;;;;;;;Rnpep;;;;;;
Cisd1;;;;;;;;;;;;;;Apeh;Stip1;Apex1;;Laptm5;;;;;;;Adssl1;;;;;;
