HSCs ;LMPP ;GMP ;basophil/Mastcell progenitors ;MEP ;megakaryocytic progenitors ;erythroid progenitors ;neutrophil progenitors;Neutrophils ;Myeloid progenitors ;monocyte progenitors ;eosinophil progenitors ;basophil progenitors
;;;;Cnp;;;;;;;;
;;;;Tomm40;;;;;;;;
;;;;Myo1d;;;;;;;;
;;;;Rabggtb;;;;;;;;
;;;;Atp5a1;;;;;;;;
;;;;Ak3;;;;;;;;
;;;;Tpx2;;;;;;;;
;;;;Ampd3;;;;;;;;
;;;;Ncapg;;;;;;;;
;;;;Farsb;;;;;;;;
;;;;Bzw1;;;;;;;;
;;;;Aldh1a1;;;;;;;;
;;;;Ddx39;;;;;;;;
;;;;Gfm1;;;;;;;;
;;;;Ubl4;;;;;;;;
;;;;Sumo3;;;;;;;;
;;;;Narf;;;;;;;;
;;;;Asf1b;;;;;;;;
;;;;Selenbp1;;;;;;;;
;;;;Nfia;;;;;;;;
;;;;Ppa1;;;;;;;;
;;;;Tnfaip2;;;;;;;;
;;;;Anln;;;;;;;;
;;;;Ndc1;;;;;;;;
;;;;Slc14a1;;;;;;;;
;;;;Eif3g;;;;;;;;
;;;;Ifrd2;;;;;;;;
;;;;Lgals9;;;;;;;;
;;;;Cdca5;;;;;;;;
;;;;Spon2;;;;;;;;
;;;;Endod1;;;;;;;;
;;;;Lrrc8c;;;;;;;;
;;;;Aldh1a7;;;;;;;;
;;;;Ttll12;;;;;;;;
;;;;Pbk;;;;;;;;
;;;;Esco2;;;;;;;;
;;;;Psen2;;;;;;;;
;;;;Epor;;;;;;;;
;;;;Tbcd;;;;;;;;
;;;;Fam126a;;;;;;;;
;;;;Aplp2;;;;;;;;
;;;;Fam132a;;;;;;;;
;;;;Ctse;;;;;;;;
;;;;Alkbh8;;;;;;;;
;;;;Dnajc9;;;;;;;;
;;;;Il1rl1;;;;;;;;
;;;;Mtfr1;;;;;;;;
;;;;Ppid;;;;;;;;
;;;;Adk;;;;;;;;
;;;;Samd14;;;;;;;;
;;;;Mgst3;;;;;;;;
;;;;Ppat;;;;;;;;
;;;;Mettl8;;;;;;;;
;;;;Ppm1g;;;;;;;;
;;;;Hspa4;;;;;;;;
;;;;Mgll;;;;;;;;
;;;;Gnl3;;;;;;;;
;;;;Odc1;;;;;;;;
;;;;Hmbs;;;;;;;;
;;;;Mboat2;;;;;;;;
;;;;Timm50;;;;;;;;
;;;;Slc38a5;;;;;;;;
;;;;Kel;;;;;;;;
;;;;Slc29a1;;;;;;;;
;;;;Ankle1;;;;;;;;
;;;;Iars2;;;;;;;;
;;;;Ctps;;;;;;;;
;;;;Immt;;;;;;;;
;;;;Smpd4;;;;;;;;
;;;;Ndufs1;;;;;;;;
;;;;Cenpe;;;;;;;;
;;;;Noc4l;;;;;;;;
;;;;Iars;;;;;;;;
;;;;Ddx1;;;;;;;;
;;;;Nudt9;;;;;;;;
;;;;Aldh18a1;;;;;;;;
;;;;Kpna3;;;;;;;;
;;;;Cct4;;;;;;;;
;;;;Dpy19l1;;;;;;;;
;;;;Trim59;;;;;;;;
;;;;Rad51ap1;;;;;;;;
;;;;Uqcrfs1;;;;;;;;
;;;;Klhl12;;;;;;;;
;;;;Slc39a8;;;;;;;;
;;;;Cul4a;;;;;;;;
;;;;Morf4l2;;;;;;;;
;;;;Wdr4;;;;;;;;
;;;;Blvrb;;;;;;;;
;;;;Slmo2;;;;;;;;
;;;;Ccnf;;;;;;;;
;;;;Ect2;;;;;;;;
